mes_referencia,loja,faturamento_liquido_mensal,FAT_BRUTO_POS_MES,TOTAL_DESCONTOS_POS,TOTAL_REG_NEG_VALOR,QTD_TRANSACOES,QTD_REG_NEG,QTD_ALTO_VALOR,QTD_INCONSIST_FINANCEIRA,TICKET_MEDIO_POS,TICKET_MEDIano_POS,TAXA_REG_NEG_PCT,TAXA_DESCONTO_PCT,PCT_QTD_REG_NEG,PCT_QTD_ALTO_VALOR,PCT_INCONSIST_FINANCEIRA,ano,mes,trimestre,indice_tempo,lag_1_mes,lag_2_meses,lag_3_meses,media_movel_3m,taxa_crescimento,mes_seno,mes_cosseno
2023-08-01,CASTING_DB063,16130857.360000001,16279111.47,74470.39,-73783.72,129097,488,1175,0,144.472745979102,129.99,0.4532416903463835,0.45745979525502933,0.3780103333152591,0.9101683230439127,0.0,2023,8,3,20,15510171.31,19808645.85,19023703.25,18114173.470000003,4.0018000935929,-0.8660254037844385,-0.5000000000000004
2023-09-01,CASTING_DB063,16689336.22,16784272.409999996,45609.58,-49326.65,132060,334,1061,2,141.8218262925118,129.99,0.2938861381361482,0.2717399889960438,0.2529153415114342,0.8034226866575799,0.0015144631228229592,2023,9,3,21,16130857.360000001,15510171.31,19808645.85,17149891.506666668,3.4621771647728394,-1.0,-1.8369701987210297e-16
2022-01-01,CASTING_DB069,1354249.31,2090413.03,691549.4199999999,-44614.3,3547,96,31,0,405.35022022602146,260.0,2.1342337308335666,33.081951273524155,2.7065125458133634,0.8739780095855653,0.0,2022,1,1,1,,,,,,0.49999999999999994,0.8660254037844387
2022-02-01,CASTING_DB069,1438105.66,2215810.9699999997,743070.3300000001,-34634.979999999996,3864,72,18,0,388.38097046413503,249.5,1.5630836957179608,33.53491520984753,1.8633540372670807,0.4658385093167702,0.0,2022,2,1,2,1354249.31,,,1354249.31,6.192091026429969,0.8660254037844386,0.5000000000000001
2022-03-01,CASTING_DB069,1919536.59,3315957.42,1346979.04,-49441.79,4950,105,38,0,406.3938864809081,269.0,1.491026081993538,40.62111991775817,2.1212121212121215,0.7676767676767676,0.0,2022,3,1,3,1438105.66,1354249.31,,1396177.4849999999,33.47674259205684,1.0,6.123233995736766e-17
2022-04-01,CASTING_DB069,1755679.76,3089331.5300000003,1280969.34,-52682.43,4497,92,26,0,410.52490124858116,270.0,1.7053019233581577,41.4642885543592,2.0458083166555485,0.578163219924394,0.0,2022,4,2,4,1919536.59,1438105.66,1354249.31,1570630.5200000003,-8.536270204674768,0.8660254037844387,-0.4999999999999998
2022-05-01,CASTING_DB069,1874773.84,3199808.99,1267387.74,-57647.409999999996,4833,135,26,0,411.328490847169,272.495,1.8015891004794005,39.6082311150704,2.793296089385475,0.5379681357334989,0.0,2022,5,2,5,1755679.76,1919536.59,1438105.66,1704440.67,6.783360081567502,0.49999999999999994,-0.8660254037844387
2022-06-01,CASTING_DB069,1596889.29,2551446.58,891506.6799999999,-63050.61,3952,117,40,0,432.83960886571055,290.0,2.4711710797409676,34.941224597381144,2.9605263157894735,1.0121457489878543,0.0,2022,6,2,6,1874773.84,1755679.76,1919536.59,1849996.7299999997,-14.82229717905601,1.2246467991473532e-16,-1.0
2022-07-01,CASTING_DB069,1935183.62,3161841.15,1158238.3900000001,-68419.14,4757,107,37,0,430.88231397849466,260.0,2.1639018772337755,36.63177038479622,2.249316796300189,0.7778011351692242,0.0,2022,7,3,7,1596889.29,1874773.84,1755679.76,1742447.6300000001,21.184582558005637,-0.4999999999999997,-0.8660254037844388
2022-08-01,CASTING_DB069,1843407.31,3095234.1799999997,1195084.4700000002,-56742.4,4402,112,32,0,442.9253403263403,292.5,1.8332183188801567,38.61047017773629,2.5442980463425715,0.7269422989550204,0.0,2022,8,3,8,1935183.62,1596889.29,1874773.84,1802282.25,-4.742511720929099,-0.8660254037844385,-0.5000000000000004
2022-09-01,CASTING_DB069,1579122.79,2541105.94,912868.02,-49115.13,3853,94,25,0,433.1572013833466,270.0,1.9328249651803182,35.924044158505254,2.439657409810537,0.6488450558006749,0.0,2022,9,3,9,1843407.31,1935183.62,1596889.29,1791826.7400000002,-14.336740370200662,-1.0,-1.8369701987210297e-16
2022-10-01,CASTING_DB069,1750577.52,2798770.46,989792.76,-58400.18,4254,124,39,0,438.0091283292978,268.3,2.086637001306638,35.36527107692854,2.914903620122238,0.9167842031029618,0.0,2022,10,4,10,1579122.79,1843407.31,1935183.62,1785904.5733333335,10.857593284433564,-0.8660254037844386,0.5000000000000001
2022-11-01,CASTING_DB069,1940957.23,3103042.48,1113963.82,-48121.43,4633,93,27,0,438.1230528634361,268.0,1.5507821858758442,35.89908379211103,2.007338657457371,0.5827757392618175,0.0,2022,11,4,11,1750577.52,1579122.79,1843407.31,1724369.2066666668,10.875251614107317,-0.5000000000000004,0.8660254037844384
2022-12-01,CASTING_DB069,1729156.74,2640300.6100000003,851002.59,-60141.280000000006,4420,116,17,0,415.729093866171,275.0,2.2778194184487197,32.23127649847416,2.6244343891402715,0.38461538461538464,0.0,2022,12,4,12,1940957.23,1750577.52,1579122.79,1756885.8466666667,-10.912166776596099,-2.4492935982947064e-16,1.0
2023-01-01,CASTING_DB069,1590605.5,2577863.15,930547.6499999999,-56710.0,3892,115,30,0,436.143897272968,268.0,2.1998840396163,36.09763574920569,2.9547790339157243,0.7708119218910586,0.0,2023,1,1,13,1729156.74,1940957.23,1750577.52,1806897.1633333333,-8.012647829716125,0.49999999999999994,0.8660254037844387
2023-02-01,CASTING_DB069,1636447.17,2681296.46,1001976.84,-42872.45,3701,82,44,0,464.028632218845,276.75,1.5989447880746466,37.36911807208368,2.215617400702513,1.1888678735476899,0.0,2023,2,1,14,1590605.5,1729156.74,1940957.23,1753573.1566666665,2.8820263729755657,0.8660254037844386,0.5000000000000001
2023-03-01,CASTING_DB069,1950962.21,3506023.08,1442243.08,-112817.79000000001,4757,159,64,0,448.8429752066116,240.0,3.217827932838366,41.13615475685916,3.3424427159974774,1.3453857473197395,0.0,2023,3,1,15,1636447.17,1590605.5,1729156.74,1652069.8033333335,19.21938243811441,1.0,6.123233995736766e-17
2023-04-01,CASTING_DB069,1797407.43,3147231.09,1302746.35,-47077.31,4243,93,48,0,444.45415421686744,240.0,1.4958326431631686,41.39341258223273,2.19184539241103,1.1312750412444026,0.0,2023,4,2,16,1950962.21,1636447.17,1590605.5,1726004.96,-7.8707203662340515,0.8660254037844387,-0.4999999999999998
2023-05-01,CASTING_DB069,2032124.8699999999,3570433.9499999997,1469671.84,-68637.23999999999,4513,130,65,0,479.29776637006626,306.0,1.9223780907640091,41.162274966604556,2.8805672501661865,1.4402836250830933,0.0,2023,5,2,17,1797407.43,1950962.21,1636447.17,1794938.9366666665,13.058666392627515,0.49999999999999994,-0.8660254037844387
2023-06-01,CASTING_DB069,1812723.3699999999,2886254.21,1018513.4299999999,-55017.41,3772,94,61,0,507.81424143556274,319.0,1.9061872585367317,35.28841730126051,2.4920466595970305,1.6171792152704134,0.0,2023,6,2,18,2032124.8699999999,1797407.43,1950962.21,1926831.5033333332,-10.796654439842568,1.2246467991473532e-16,-1.0
2023-07-01,CASTING_DB069,2150647.16,4253241.29,1959525.75,-143068.38,6109,534,74,0,411.42879641255604,239.99,3.363749438254889,46.07135162087172,8.741201505974791,1.2113275495171059,0.0,2023,7,3,19,1812723.3699999999,2032124.8699999999,1797407.43,1880751.89,18.64177378592522,-0.4999999999999997,-0.8660254037844388
2023-08-01,CASTING_DB069,2731531.94,4468006.19,1634896.4100000001,-101577.84,5445,157,95,0,535.7620612708018,350.0,2.2734489541967258,36.59118498222134,2.8833792470156103,1.7447199265381086,0.0,2023,8,3,20,2150647.16,1812723.3699999999,2032124.8699999999,1998498.4666666668,27.009766678788893,-0.8660254037844385,-0.5000000000000004
2023-09-01,CASTING_DB069,2286329.08,3990481.2299999995,1637993.9100000001,-66158.23999999999,5157,116,70,0,466.67076373735364,299.0,1.6579012952781136,41.04752824510843,2.2493697886368045,1.357378320729106,0.0,2023,9,3,21,2731531.94,2150647.16,1812723.3699999999,2231634.1566666667,-16.298651078559235,-1.0,-1.8369701987210297e-16
2022-01-01,CASTING_DB088,6375231.42,6468599.51,0.0,-93368.09,11043,131,100,131,592.7968759164223,399.5,1.4434050192110286,0.0,1.1862718464185458,0.9055510278004166,1.1862718464185458,2022,1,1,1,,,,,,0.49999999999999994,0.8660254037844387
2022-02-01,CASTING_DB088,6385675.11,6491866.290000001,0.0,-106191.18,11864,171,85,171,555.1925331394852,360.0,1.6357573501409866,0.0,1.4413351314902225,0.7164531355360756,1.4413351314902225,2022,2,1,2,6375231.42,,,6375231.42,0.16381664149849318,0.8660254037844386,0.5000000000000001
2022-03-01,CASTING_DB088,7199061.09,7351712.2299999995,0.0,-152651.14,12484,224,126,224,599.6991785626886,407.07,2.0764025471111243,0.0,1.7942966997757128,1.0092918936238384,1.7942966997757128,2022,3,1,3,6385675.11,6375231.42,,6380453.265000001,12.737666197991082,1.0,6.123233995736766e-17
2022-04-01,CASTING_DB088,6356634.25,6506911.110000001,0.0,-150276.86000000002,12144,227,112,227,546.065047834844,359.0,2.309496125881455,0.0,1.8692358366271409,0.922266139657444,1.8692358366271409,2022,4,2,4,7199061.09,6385675.11,6375231.42,6653322.54,-11.701898754133222,0.8660254037844387,-0.4999999999999998
2022-05-01,CASTING_DB088,8273692.08,8435116.030000001,0.0,-161423.95,15272,270,153,270,562.266099853353,369.0,1.9137134501278459,0.0,1.7679413305395495,1.001833420639078,1.7679413305395495,2022,5,2,5,6356634.25,7199061.09,6385675.11,6647123.483333333,30.15837870489402,0.49999999999999994,-0.8660254037844387
2022-06-01,CASTING_DB088,6819407.84,6911131.56,0.0,-91723.72,11662,131,113,131,599.4042983521249,388.44,1.3271881630914866,0.0,1.12330646544332,0.9689590121762992,1.12330646544332,2022,6,2,6,8273692.08,6356634.25,7199061.09,7276462.473333334,-17.57721010086225,1.2246467991473532e-16,-1.0
2022-07-01,CASTING_DB088,7676416.7,7832223.890000001,0.0,-155807.19,13251,230,100,230,601.5070954611781,369.0,1.9893097054966848,0.0,1.7357180590144141,0.7546600256584409,1.7357180590144141,2022,7,3,7,6819407.84,8273692.08,6356634.25,7149911.390000001,12.567203489034906,-0.4999999999999997,-0.8660254037844388
2022-08-01,CASTING_DB088,7293279.0,7398885.21,0.0,-105606.21,13120,182,111,182,571.8724076364199,369.0,1.4273259687454998,0.0,1.3871951219512195,0.8460365853658537,1.3871951219512195,2022,8,3,8,7676416.7,6819407.84,8273692.08,7589838.873333334,-4.991100860900377,-0.8660254037844385,-0.5000000000000004
2022-09-01,CASTING_DB088,6175274.54,6312868.669999999,0.0,-137594.13,11296,197,86,197,568.7781484818452,349.0,2.179581695622381,0.0,1.7439801699716713,0.7613314447592068,1.7439801699716713,2022,9,3,9,7293279.0,7676416.7,6819407.84,7263034.513333333,-15.32924299207531,-1.0,-1.8369701987210297e-16
2022-10-01,CASTING_DB088,6900950.94,7030111.32,0.0,-129160.37999999999,12845,190,101,190,555.5204519952588,334.75,1.8372451604365205,0.0,1.479174776177501,0.7862981704943558,1.479174776177501,2022,10,4,10,6175274.54,7293279.0,7676416.7,7048323.413333333,11.751322071585179,-0.8660254037844386,0.5000000000000001
2022-11-01,CASTING_DB088,8314160.4,8446273.42,0.0,-132113.02,14781,201,103,201,579.3054471879286,349.0,1.5641575098334903,0.0,1.3598538664501725,0.6968405385291929,1.3598538664501725,2022,11,4,11,6900950.94,6175274.54,7293279.0,6789834.826666667,20.478474231842615,-0.5000000000000004,0.8660254037844384
2022-12-01,CASTING_DB088,8281996.12,8444380.79,0.0,-162384.66999999998,14714,226,149,226,582.8936833022709,339.0,1.9229908508187965,0.0,1.5359521544107653,1.01264102215577,1.5359521544107653,2022,12,4,12,8314160.4,6900950.94,6175274.54,7130128.626666668,-0.3868614322138919,-2.4492935982947064e-16,1.0
2023-01-01,CASTING_DB088,7396610.01,7520550.0600000005,0.0,-123940.05000000002,13494,193,122,193,565.4123795203369,330.3,1.64801841635504,0.0,1.430265303097673,0.904105528382985,1.430265303097673,2023,1,1,13,8281996.12,8314160.4,6900950.94,7832369.153333333,-10.69049172652836,0.49999999999999994,0.8660254037844387
2023-02-01,CASTING_DB088,6183992.66,6287158.21,0.0,-103165.55,11515,148,123,148,553.106203043899,329.0,1.6408931754876264,0.0,1.2852800694745985,1.068171949630916,1.2852800694745985,2023,2,1,14,7396610.01,8281996.12,8314160.4,7997588.843333334,-16.394231254055256,0.8660254037844386,0.5000000000000001
2023-03-01,CASTING_DB088,7144957.51,7261876.83,0.0,-116919.31999999999,12436,171,155,171,592.081274357929,353.7,1.6100427305099307,0.0,1.3750402058539724,1.2463814731424894,1.3750402058539724,2023,3,1,15,6183992.66,7396610.01,8281996.12,7287532.93,15.539553534981065,1.0,6.123233995736766e-17
2023-04-01,CASTING_DB088,6223365.88,6320447.32,0.0,-97081.44,11580,162,114,162,553.5511753371869,339.0,1.53599001913681,0.0,1.3989637305699483,0.9844559585492229,1.3989637305699483,2023,4,2,16,7144957.51,6183992.66,7396610.01,6908520.06,-12.898490000957331,0.8660254037844387,-0.4999999999999998
2023-05-01,CASTING_DB088,9285184.88,9408737.42,0.0,-123552.54,16852,187,146,187,564.580703270327,349.09,1.313168116875771,0.0,1.1096605744125325,0.866366009969143,1.1096605744125325,2023,5,2,17,6223365.88,7144957.51,6183992.66,6517438.683333334,49.198762519165925,0.49999999999999994,-0.8660254037844387
2023-06-01,CASTING_DB088,7897667.14,8063140.3,0.0,-165473.15999999997,13992,281,147,281,588.0782072788272,359.0,2.05221729801725,0.0,2.008290451686678,1.0506003430531732,2.008290451686678,2023,6,2,18,9285184.88,6223365.88,7144957.51,7551169.423333335,-14.943350702565661,1.2246467991473532e-16,-1.0
2023-07-01,CASTING_DB088,9289856.38,9417081.61,0.0,-127225.23000000001,15318,193,191,193,622.6581334303094,403.83,1.3510048576503737,0.0,1.2599556077816947,1.2468990729860294,1.2599556077816947,2023,7,3,19,7897667.14,9285184.88,6223365.88,7802072.633333333,17.627854090594177,-0.4999999999999997,-0.8660254037844388
2023-08-01,CASTING_DB088,7282099.7,7404621.969999999,0.0,-122522.27,12538,192,132,192,599.758785841568,399.0,1.6546728583363455,0.0,1.5313447120752912,1.0527994895517625,1.5313447120752912,2023,8,3,20,9289856.38,7897667.14,9285184.88,8824236.133333335,-21.61235435590233,-0.8660254037844385,-0.5000000000000004
2023-09-01,CASTING_DB088,6773131.72,6889925.579999999,0.0,-116793.86000000002,12736,183,117,183,548.8668509519636,338.0,1.6951396447449005,0.0,1.4368718592964824,0.9186557788944724,1.4368718592964824,2023,9,3,21,7282099.7,9289856.38,7897667.14,8156541.073333334,-6.98930254964788,-1.0,-1.8369701987210297e-16
2022-01-01,CASTING_DB092,3142394.0900000003,4250855.18,783620.8400000001,-324840.25,35291,1422,69,1422,102.40214832097817,30.0,7.641762333573547,18.434428057838474,4.029355926440169,0.19551727069224448,4.029355926440169,2022,1,1,1,,,,,,0.49999999999999994,0.8660254037844387
2022-02-01,CASTING_DB092,2419355.36,2739589.1,134326.14,-185907.59999999998,25881,770,79,770,103.77466480780718,15.99,6.78596655242934,4.903149162040395,2.9751555194930646,0.3052432286233144,2.9751555194930646,2022,2,1,2,3142394.0900000003,,,3142394.0900000003,-23.00916782846929,0.8660254037844386,0.5000000000000001
2022-03-01,CASTING_DB092,2885525.43,3259745.89,165574.01,-208646.44999999995,28901,812,71,812,110.16384377113968,15.99,6.400696773330389,5.079353286645297,2.809591363620636,0.24566623992249406,2.809591363620636,2022,3,1,3,2419355.36,3142394.0900000003,,2780874.725,19.26835874164432,1.0,6.123233995736766e-17
2022-04-01,CASTING_DB092,3110050.86,3493644.3900000006,174921.91999999998,-208671.60999999996,29347,791,109,791,116.2180441938647,29.99,5.9728921065145935,5.006861044606774,2.6953351279517497,0.37141786213241557,2.6953351279517497,2022,4,2,4,2885525.43,2419355.36,3142394.0900000003,2815758.2933333335,7.781093441966291,0.8660254037844387,-0.4999999999999998
2022-05-01,CASTING_DB092,3182532.73,3620419.83,171642.05000000002,-266245.04999999993,28919,979,92,979,123.43513886900499,30.0,7.353982756193221,4.740943262372972,3.3853176112590337,0.3181299491683668,3.3853176112590337,2022,5,2,5,3110050.86,2885525.43,2419355.36,2804977.216666667,2.3305686389964775,0.49999999999999994,-0.8660254037844387
2022-06-01,CASTING_DB092,2902351.3000000003,3280721.46,161532.72,-216837.43999999994,26154,788,119,788,122.96730820783725,20.0,6.609443765457613,4.923695046028078,3.012923453391451,0.45499732354515565,3.012923453391451,2022,6,2,6,3182532.73,3110050.86,2885525.43,3059369.6733333333,-8.80372501306529,1.2246467991473532e-16,-1.0
2022-07-01,CASTING_DB092,4016584.2,4991410.33,749428.3600000001,-225397.76999999993,41679,857,126,857,103.91411420312576,19.99,4.515713097063689,15.014360881045821,2.0561913673552628,0.3023105160872382,2.0561913673552628,2022,7,3,7,2902351.3000000003,3182532.73,3110050.86,3064978.296666667,38.39069722538411,-0.4999999999999997,-0.8660254037844388
2022-08-01,CASTING_DB092,3102829.8000000003,3562446.37,186138.11,-273478.4599999999,29858,952,213,952,116.80302566941118,19.99,7.676703916247303,5.225008060963455,3.1884252126733204,0.7133766494741778,3.1884252126733204,2022,8,3,8,4016584.2,2902351.3000000003,3182532.73,3367156.0766666667,-22.749539272698428,-0.8660254037844385,-0.5000000000000004
2022-09-01,CASTING_DB092,3184944.94,3630253.7100000004,233684.31,-211624.45999999996,35405,798,214,798,98.14688935764441,15.0,5.8294674947112695,6.4371343897063324,2.253918938003107,0.6044344019206327,2.253918938003107,2022,9,3,9,3102829.8000000003,4016584.2,2902351.3000000003,3340588.4333333336,2.646459693019576,-1.0,-1.8369701987210297e-16
2022-10-01,CASTING_DB092,3582766.54,4053550.57,226450.56,-244333.46999999994,42258,931,253,931,92.6053187988482,15.0,6.027640849192611,5.586474279510469,2.203133134554404,0.5987032041270292,2.203133134554404,2022,10,4,10,3184944.94,3102829.8000000003,4016584.2,3434786.313333334,12.4906900274389,-0.8660254037844386,0.5000000000000001
2022-11-01,CASTING_DB092,3887440.3600000003,4523611.92,422823.96,-213347.59999999998,45651,802,321,802,91.43543802537403,15.0,4.716310854535019,9.34704319198098,1.7568070798010995,0.703160938424131,1.7568070798010995,2022,11,4,11,3582766.54,3184944.94,3102829.8000000003,3290180.426666667,8.503870307999485,-0.5000000000000004,0.8660254037844384
2022-12-01,CASTING_DB092,6622087.61,7543853.91,415126.92,-506639.37999999983,71909,1932,559,1932,101.87242936965002,19.99,6.715922472045854,5.502849404993316,2.686729060340152,0.7773713999638432,2.686729060340152,2022,12,4,12,3887440.3600000003,3582766.54,3184944.94,3551717.28,70.34570300134455,-2.4492935982947064e-16,1.0
2023-01-01,CASTING_DB092,4298811.24,5657252.87,990808.9899999999,-367632.64,44039,1347,214,1347,109.30487866579219,19.99,6.498430394538825,17.51395973926122,3.0586525579599897,0.4859329230908967,3.0586525579599897,2023,1,1,13,6622087.61,3887440.3600000003,3582766.54,4697431.503333334,-35.08374559242655,0.49999999999999994,0.8660254037844387
2023-02-01,CASTING_DB092,3029599.45,3359312.7399999993,121135.77000000002,-208577.51999999996,26769,751,312,751,124.45910408178952,20.0,6.208934271478398,3.60596882087257,2.8054839553214537,1.1655272890283537,2.8054839553214537,2023,2,1,14,4298811.24,6622087.61,3887440.3600000003,4936113.07,-29.52471553507895,0.8660254037844386,0.5000000000000001
2023-03-01,CASTING_DB092,3368878.97,3736109.2199999997,123172.68,-244057.56999999995,30029,850,564,850,123.8197518763494,19.99,6.532399232161633,3.296816895518916,2.830597089480169,1.8781844217256654,2.830597089480169,2023,3,1,15,3029599.45,4298811.24,6622087.61,4650166.100000001,11.198824319828816,1.0,6.123233995736766e-17
2023-04-01,CASTING_DB092,4317262.07,4731790.029999999,173834.32,-240693.63999999996,36473,860,721,860,127.98572740291466,19.99,5.08673543149589,3.6737538837918393,2.3579085899158283,1.9768047596852467,2.3579085899158283,2023,4,2,16,3368878.97,3029599.45,4298811.24,3565763.22,28.151296275271065,0.8660254037844387,-0.4999999999999998
2023-05-01,CASTING_DB092,4265863.72,4787800.989999999,170546.88,-351390.39,34829,1165,784,1165,137.15702560598857,29.99,7.339285628912492,3.5621129691106903,3.344913721324184,2.2509977317752448,3.344913721324184,2023,5,2,17,4317262.07,3368878.97,3029599.45,3571913.4966666666,-1.1905311553162323,0.49999999999999994,-0.8660254037844387
2023-06-01,CASTING_DB092,4414825.43,4900379.9799999995,195539.93,-290014.6199999999,39220,986,670,986,123.05382774493903,19.99,5.918206775467234,3.9903013806696683,2.514023457419684,1.7083120856705762,2.514023457419684,2023,6,2,18,4265863.72,4317262.07,3368878.97,3984001.5866666664,3.4919472298566623,1.2246467991473532e-16,-1.0
